ProbeID	RefseqBlastZebrafishGene	RefseqBlastZebrafishNucleotide	Number of Different Genes hit with highest stringency
A_15_P745686	ogfod2	NM_001080069 	1
A_15_P485300	tacc3	NM_212581 	1
A_15_P626526	hephl1a	NM_001105110 	1
A_15_P444800	ryr2	XM_003199664 	1
A_15_P766771	si:dkey-20l4.2	XM_009300626 	1
A_15_P184291	atf6	NM_001110519 	1
CUST_538_PI425731064	mast4	XM_009301831 	1
CUST_2969_PI425730982	elovl1a	NM_001005989 	1
A_15_P170856	rhoab	NM_212749 	1
A_15_P627101	plg	NM_201472 	1
A_15_P725516	krt4	NM_131509 	1
A_15_P288796	LOC564855	XM_009291051 	1
CUST_2735_PI425730982	elf2a	NM_001004116 	1
A_15_P120772	tssc1	NM_001006065 	1
A_15_P131291	prdm8	NM_213410 	1
A_15_P628136	tmsb	NM_205581 	1
A_15_P109692	pnp5b	NM_001004628 	1
A_15_P724536	pleca	NM_001100032 	1
CUST_7995_PI425730982	qrsl1	NM_001118898 	1
A_15_P235321	LOC103908773	XM_009291245 	1
A_15_P103734	mak	NM_199946 	1
A_15_P400460	ttll5	XM_003200400 	1
A_15_P134071	noc3l	NM_001002863 	1
A_15_P753261	tmem41aa	NM_001020765 	1
CUST_20926_PI425730982	c14orf159	XM_001923855 	1
A_15_P629011	ppa1b	NM_001017833 	1
A_15_P107637	efnb1	NM_131805 	1
A_15_P530712	zgc:154142	NM_001099240 	1
A_15_P506977	bzw2	NM_200918 	1
A_15_P301226	ponzr10	XM_001338121 	1
A_15_P415010	si:ch211-24o10.6	XM_001333067 	1
A_15_P739551	col9a1b	NM_213264 	1
A_15_P198686	angptl4	NM_001256203 	1
CUST_2127_PI425730982	b3gnt7l	NM_214777 	1
A_15_P117829	yap1	NM_001139480 	1
A_15_P721811	popdc3	NM_001001848 	1
CUST_1997_PI425730982	ipo9	NM_213539 	1
CUST_1024_PI425731107	si:rp71-56i13.6	NM_001045023 	1
A_15_P299616	col28a1	XM_002665528 	1
A_15_P120186	mrpl10	NM_001013458 	1
A_15_P628666	rrbp1a	NM_001145555 	1
A_15_P163146	zgc:101851	NM_001004675 	1
A_15_P338060	skiv2l	NM_001044901 	1
CUST_1315_PI425731107	LOC103910969	XM_009300957 	1
A_15_P132221	insrb	NM_001123229 	1
A_15_P192461	fblim1	NM_001077303 	1
A_15_P168066	eea1	XM_003200437 	1
A_15_P115865	rab10	NM_001002566 	1
CUST_861_PI425731064	plch1	XM_009293767 	1
A_15_P682581	lrrc58	XM_680780 	1
CUST_19640_PI425730982	LOC568519	XM_009297866 	1
CUST_11805_PI425730982	qtrtd1	NM_001118896 	1
CUST_20900_PI425730982	LOC795188	XM_001335273 	1
A_15_P772156	si:dkey-181m19.17	XM_001921070 	1
A_15_P593772	mysm1	NM_001164029 	1
CUST_3995_PI425730982	grtp1b	NM_001017810 	1
A_15_P629656	arl1	NM_001002473 	1
CUST_1563_PI425730982	her12	NM_205619 	1
A_15_P163851	sardh	NM_201128 	1
A_15_P286371	LOC100004545	XM_001343781 	1
A_15_P517522	si:ch211-207e14.4	XM_009297032 	1
A_15_P620641	grk7a	NM_001031841 	1
A_15_P106477	cplx2l	NM_001002459 	1
A_15_P595447	dfnb31	XM_002665922 	1
A_15_P733281	ntmt1	NM_212898 	1
A_15_P750116	actb1	NM_131031 	1
A_15_P621681	cbx7a	NM_001017853 	1
CUST_22956_PI425730982	LOC100003376	XM_001342926 	1
A_15_P624011	rbb4l	NM_212610 	1
A_15_P148561	foxf1	NM_001080186 	1
A_15_P719491	rgl1	NM_205637 	1
A_15_P118479	e2f5	NM_205615 	1
A_15_P139881	tsr1	NM_001037370 	1
A_15_P169681	pycr1b	NM_001020618 	1
A_15_P631511	zgc:112962	NM_001017552 	1
CUST_5737_PI425730982	sfxn4	NM_001076662 	1
A_15_P719936	ewsr1a	NM_001115138 	1
CUST_1325_PI425731107	LOC100536607	XM_003197991 	1
A_15_P198026	btaf1	XM_005169532 	1
A_15_P150591	pon1	NM_001004542 	1
A_15_P210021	caprin1b	NM_213068 	1
CUST_23546_PI425730982	slc25a1b	XM_003199276 	1
A_15_P162536	stag2a	NM_001100028 	1
A_15_P487735	grb2a	NM_001007769 	1
A_15_P406510	txnipa	NM_200087 	1
A_15_P155546	prrg4	NM_001017637 	1
A_15_P110286	prkag1	NM_213161 	1
A_15_P146051	limk2	NM_001002651 	1
A_15_P166371	hectd2	XM_686363 	1
A_15_P557367	tex2l	XM_009306689 	1
A_15_P411485	spns2	NM_001083847 	1
A_15_P205466	gnat1	NM_131868 	1
A_15_P199431	hecw1b	NM_001145764 	1
A_15_P712121	LOC569534	XM_009293821 	1
CUST_13326_PI425730982	LOC100537432	XM_003201736 	1
CUST_8348_PI425730982	LOC101882285	XM_009295960 	1
A_15_P728351	lnpb	NM_001159912 	1
A_15_P550157	valopb	NM_001110280 	1
A_15_P627006	zgc:173545	NM_001114478 	1
A_15_P666211	enpp6	NM_001013527 	1
CUST_21240_PI425730982	tc2n	XM_009307433 	1
A_15_P142346	gabpb2a	NM_001099977 	1
CUST_1694_PI425731107	si:ch73-15n24.1	XM_009294028 	1
A_15_P630026	esm1	NM_001076741 	1
A_15_P228131	zgc:113054	NM_001013450 	1
A_15_P130576	ncam1b	NM_131831 	1
A_15_P706116	sult3st3	NM_001082876 	1
A_15_P285824	LOC101883139	XM_009298560 	1
A_15_P735951	mybpc3	NM_001044349 	1
A_15_P466120	erfl3	XM_689171 	1
A_15_P660911	nxnl2	NM_001008630 	1
A_15_P727526	txndc11	XM_009296246 	1
A_15_P531947	bnip1b	XM_001333689 	1
A_15_P259826	gpr20	XM_009292471 	1
A_15_P196746	LOC565295	XM_688576 	1
A_15_P548972	si:ch211-126j24.1	XM_009296536 	1
A_15_P632701	dlc	NM_130944 	1
CUST_4283_PI425730982	gpr182	NM_001020478 	1
A_15_P408475	ank1b	XM_009295384 	1
CUST_20384_PI425730982	LOC565514	XM_688794 	1
A_15_P103413	smim15	NM_001159946 	1
CUST_1238_PI425731107	LOC100332125	XM_009306132 	1
A_15_P673191	ppp1cc	XM_695376 	1
A_15_P627976	med12	NM_001039461 	1
A_15_P628806	il1rapl2	NM_001142584 	1
A_15_P750126	rgs7bpa	NM_001076608 	1
A_15_P106190	tmed2	NM_199548 	1
A_15_P117929	gpm6aa	NM_213200 	1
CUST_14046_PI425730982	wu:fj81e10	XM_009295064 	1
CUST_13699_PI425730982	LOC100537487	XM_003200023 	1
A_15_P749901	wu:fj29h11	XM_009306367 	1
CUST_257_PI425731107	rabif	NM_001002511 	1
CUST_15938_PI425730982	LOC100534935	XM_003200197 	1
A_15_P101234	asz1	NM_200230 	1
A_15_P101661	rbm4.1	NM_199705 	1
CUST_1415_PI425730982	syt4	NM_199948 	1
A_15_P137571	tma7	NM_001159834 	1
A_15_P732471	zgc:112265	NM_001025164 	1
A_15_P102932	her1	NM_131078 	1
A_15_P743161	qpctla	NM_001044953 	1
A_15_P726841	nipblb	NM_001161447 	1
A_15_P138076	aox1	NM_001278817 	1
A_15_P113678	zgc:175088	NM_001113798 	1
A_15_P746911	cog5	NM_001045144 	1
A_15_P366555	agxta	NM_001002331 	1
CUST_1581_PI425731064	igsf9	XM_680537 	1
A_15_P115720	adh8a	NM_001001946 	1
A_15_P134706	cygb1	NM_152952 	1
CUST_3599_PI425730982	hsf4	NM_001013317 	1
A_15_P723067	tmpoa	NM_180968 	1
CUST_16532_PI425730982	LOC100000365	XM_009296560 	1
CUST_20670_PI425730982	LOC557301	XM_680337 	1
A_15_P490752	nfic	XM_009303917 	1
CUST_23018_PI425730982	si:dkey-204k5.3	XM_001340956 	1
A_15_P591217	bccip	NM_001013475 	1
A_15_P394715	lppr3b	XM_693618 	1
CUST_7341_PI425730982	zgc:174228	NM_001109841 	1
A_15_P317371	cdr2l	NM_205564 	1
CUST_3693_PI425730982	asrgl1	NM_001013529 	1
CUST_595_PI425731064	nelfa	NM_001173501 	1
CUST_7810_PI425730982	zgc:172215	NM_001114567 	1
A_15_P135806	ano3	XM_009298200 	1
A_15_P668791	parp4	XM_001921875 	1
A_15_P743386	daam1a	XM_005158655 	1
CUST_13415_PI425730982	LOC101883555	XM_009305922 	1
CUST_269_PI425731064	zbtb21	XM_690101 	1
A_15_P310306	LOC100334891	XR_661793 	1
A_15_P131946	nos1	NM_131660 	1
A_15_P113650	met	NM_001007124 	1
A_15_P139941	ccdc93	NM_001040324 	1
A_15_P107363	zgc:112084	NM_001017763 	1
A_15_P555232	LOC100330974	XM_002667860 	1
A_15_P722881	zgc:171220	NM_001109830 	1
A_15_P434695	ttc1	NM_001007382 	1
A_15_P670146	pdk2b	NM_200996 	1
A_15_P203086	si:dkey-170l10.1	NM_001201430 	1
A_15_P709781	jun	NM_199987 	1
A_15_P490552	brpf3b	XM_005166736 	1
A_15_P461325	zgc:174268	NM_001114471 	1
CUST_13413_PI425730982	LOC100334068	XM_002663768 	1
A_15_P153436	npffr1l3	NM_001089389 	1
A_15_P379230	LOC565638	XM_688906 	1
A_15_P105636	s1pr2	NM_001159970 	1
A_15_P117148	sh2b1	NM_001110455 	1
A_15_P101950	dkk3	NM_001089545 	1
CUST_15928_PI425730982	bcl3	XM_688922 	1
CUST_2873_PI425731107	LOC100538115	XM_009298683 	1
A_15_P182246	grb10a	NM_001004287 	1
A_15_P109975	fgf2	NM_212823 	1
A_15_P194346	nr3c1	NM_001020711 	1
A_15_P113596	eif2b1	NM_001002060 	1
A_15_P631791	zgc:77651	NM_213247 	1
A_15_P594057	si:ch211-207j7.2	XM_001921109 	1
A_15_P117374	ppp5c	NM_001014350 	1
A_15_P103054	lrrc4.1	XM_005164787 	1
A_15_P697766	tmem168a	NM_001083086 	1
A_15_P173426	fam169aa	NM_001045367 	1
A_15_P655131	prdm6	XM_005172423 	1
A_15_P116081	pi4k2b	NM_001045485 	1
A_15_P720151	socs3b	NM_213304 	1
A_15_P222746	zgc:123295	NM_001037562 	1
A_15_P157821	pcdh1gc5	NM_001012656 	1
A_15_P735131	LOC100001452	XM_009296032 	1
A_15_P662786	ahrrb	XM_005168427 	1
A_15_P625881	rd3	NM_001080631 	1
A_15_P183821	si:dkey-190g6.2	XM_009297030 	1
CUST_2041_PI425731064	si:dkey-246m18.2	XM_009291903 	1
CUST_7048_PI425730982	dnajb5	NM_001100040 	1
A_15_P105625	rpl8	NM_200713 	1
A_15_P376505	msantd1	XM_001338901 	1
A_15_P267801	adam11	XM_690437 	1
A_15_P186641	ap1m3	XM_005166279 	1
CUST_3281_PI425730982	mafga	NM_001002045 	1
CUST_4937_PI425730982	actn2b	NM_001037573 	1
CUST_3279_PI425730982	mapk12a	NM_131407 	1
A_15_P140501	cyp46a1.3	NM_001045298 	1
A_15_P721936	mphosph8	NM_001126433 	1
A_15_P108013	glt8d2	NM_001039931 	1
A_15_P196081	prep	NM_001020753 	1
A_15_P101069	elovl7a	NM_199875 	1
A_15_P160701	peli1b	NM_001077601 	1
CUST_5088_PI425730982	ush1c	NM_001039929 	1
A_15_P246136	ddx43	NM_001114589 	1
A_15_P439328	zgc:173837	NM_001111233 	1
CUST_20162_PI425730982	znf622	XM_689230 	1
A_15_P190381	zgc:110843	NM_001014305 	1
A_15_P243661	slco4a1	XM_691171 	1
CUST_20826_PI425730982	pcolce2a	XM_009297616 	1
A_15_P104506	dacha	NM_152955 	1
A_15_P111826	ctssb.2	NM_001017661 	1
A_15_P541172	supt16h	NM_001097584 	1
CUST_11544_PI425730982	LOC555336	XM_009291353 	1
A_15_P764711	elp6	NM_001103142 	1
A_15_P216341	zgc:171818	NM_001114908 	1
A_15_P176151	itgb1bp1	NM_001037409 	1
A_15_P197111	whsc1	NM_001082551 	1
A_15_P759146	LOC100536348	XM_009300986 	1
A_15_P149026	mov10b.2	NM_001044340 	1
CUST_1983_PI425730982	eltd1	NM_213367 	1
A_15_P207381	clstn1	NM_001077784 	1
A_15_P287801	LOC558930	XM_682219 	1
A_15_P108034	zgc:64130	NM_201209 	1
A_15_P749276	ca15b	NM_213182 	1
A_15_P190601	fmr1	NM_152963 	1
A_15_P135266	LOC103911944	XM_009306895 	1
A_15_P394310	slc12a7a	XM_005171252 	1
A_15_P139806	plcxd3	NM_001014300 	1
A_15_P117790	acsl4b	NM_001099739 	1
A_15_P444675	LOC101883582	XM_005173531 	1
CUST_3039_PI425730982	arl6ip5a	NM_001006096 	1
A_15_P107318	rprmb	NM_200806 	1
CUST_605_PI425730982	nipsnap3a	NM_200264 	1
A_15_P728761	cyp8b2	NM_001110288 	1
A_15_P140006	fgf23	NM_001009564 	1
A_15_P269416	LOC100536173	XM_005157251 	1
A_15_P685877	LOC101882695	XM_009291380 	1
A_15_P322986	zgc:162698	NM_001089384 	1
CUST_21184_PI425730982	rictora	XM_009301197 	1
A_15_P444180	LOC101885697	XM_009300705 	1
A_15_P616542	si:ch211-91p5.3	XM_689352 	1
A_15_P105097	tomm34	NM_199638 	1
CUST_2799_PI425731107	LOC100006761	NM_001128816 	1
A_15_P150911	abhd13	NM_001037685 	1
A_15_P105408	crygm5	NM_001007058 	1
A_15_P110604	zgc:175107	NM_001113632 	1
A_15_P188471	ltv1	NM_001002316 	1
A_15_P141131	josd1	NM_001076595 	1
A_15_P108491	fcf1	NM_001017601 	1
A_15_P731741	cox6b2	NM_001282092 	1
A_15_P723556	man1b1	NM_001099979 	1
A_15_P104491	myef2	NM_001037423 	1
CUST_11639_PI425730982	LOC100150143	XM_009295347 	1
CUST_8492_PI425730982	LOC563995	XM_009299194 	1
A_15_P168921	tert	NM_001083866 	1
A_15_P517384	adra1a	XM_001338902 	1
A_15_P113522	LOC566845	XM_009296455 	1
A_15_P751406	pabpc1a	NM_001031676 	1
A_15_P106603	cd82a	NM_212661 	1
A_15_P121420	snx5	NM_214769 	1
A_15_P148386	nfyc	NM_199639 	1
CUST_3761_PI425730982	vps33b	NM_001014348 	1
CUST_10287_PI425730982	zgc:193790	NM_001128691 	1
A_15_P626166	unc5a	NM_001114465 	1
A_15_P140466	tigara	NM_001039836 	1
A_15_P173351	ptgs2b	NM_001025504 	1
A_15_P194696	sptlc2a	NM_001020619 	1
A_15_P319061	si:ch211-244a23.1	NM_001166323 	1
CUST_3131_PI425730982	pptc7a	NM_001007378 	1
A_15_P668366	LOC103910576	XM_009300556 	1
CUST_5347_PI425730982	thap1	NM_001045284 	1
A_15_P271771	znf341	NM_001114573 	1
A_15_P739196	impdh1b	NM_001014369 	1
CUST_10425_PI425730982	jam3b	NM_001082863 	1
A_15_P206611	ucn3l	NM_001082954 	1
A_15_P177591	aftpha	NM_001145561 	1
A_15_P112069	clrn1	NM_001002671 	1
A_15_P656771	pou3f2a	NM_131289 	1
CUST_15617_PI425730982	LOC561649	XM_005155910 	1
A_15_P119646	abcd3a	NM_213482 	1
A_15_P654986	tmed7	NM_212912 	1
A_15_P120782	cx28.6	NM_001007212 	1
A_15_P177901	dennd4b	XM_002665070 	1
A_15_P622068	heatr1	NM_199900 	1
A_15_P112839	bub3	NM_205709 	1
A_15_P174496	plekhj1	NM_213288 	1
CUST_12323_PI425730982	zgc:66474	XM_009299275 	1
A_15_P512722	lmo4b	NM_212689 	1
A_15_P189451	si:ch211-180j19.1	NM_001123286 	1
CUST_787_PI425731064	rnaset2l	XM_688527 	1
A_15_P102202	gpatch8	XM_009299660 	1
CUST_3283_PI425730982	mapk8b	NM_131721 	1
A_15_P621131	slc16a1	NM_200085 	1
A_15_P596277	fam208b	XM_005166734 	1
A_15_P461120	tfap4	XM_009299808 	1
CUST_20429_PI425730982	LOC794408	XM_001334343 	1
A_15_P759981	LOC795026	XM_005155641 	1
A_15_P420850	maptb	XM_005171600 	1
CUST_11087_PI425730982	zgc:163079	NM_001083582 	1
A_15_P200131	klhl5	NM_001170942 	1
A_15_P280256	bhlhe22	NM_200955 	1
A_15_P720361	zgc:86609	NM_001009987 	1
A_15_P461390	zgc:152808	NM_001045561 	1
A_15_P627801	il12ba	NM_001007108 	1
A_15_P761661	si:ch211-198b3.4	XM_001923808 	1
A_15_P170331	twist1a	NM_130984 	1
A_15_P104333	unc119.2	XM_009299573 	1
A_15_P143216	atg9b	NM_001080705 	1
A_15_P246076	dnajc14	XM_009305773 	1
A_15_P171296	mto1	NM_001083009 	1
A_15_P132536	hist1h4l	NM_001105706 	1
A_15_P175871	fanca	NM_001040635 	1
CUST_7729_PI425730982	il6r	NM_001114318 	1
A_15_P144001	cideb	NM_001256257 	1
A_15_P104771	id1	NM_131245 	1
CUST_6851_PI425730982	or105-1	NM_001089442 	1
A_15_P101212	flj11011l	NM_001045293 	1
A_15_P208471	zgc:86609	NM_001009987 	1
CUST_9804_PI425730982	LOC100329245	XM_009297195 	1
A_15_P140871	smpdl3a	NM_001014338 	1
A_15_P202001	ssfa2	XM_009304950 	1
A_15_P192741	rbm24b	NM_001039925 	1
CUST_20197_PI425730982	rest	XM_001922872 	1
A_15_P654546	gmppb	NM_001003491 	1
A_15_P566842	otud7a	XM_003201466 	1
A_15_P307851	hbz	XM_680270 	1
A_15_P119172	ppib	NM_213019 	1
A_15_P441325	ephx1	NM_201068 	1
A_15_P113137	aldoab	NM_213215 	1
A_15_P709366	tnc	NM_130907 	1
CUST_7525_PI425730982	ifnphi2	NM_001111082 	1
A_15_P168016	si:ch211-242e8.1	XM_009293594 	1
CUST_4866_PI425730982	zgc:123096	NM_001037226 	1
A_15_P147481	clip2	XM_005172017 	1
A_15_P120249	fgf13a	NM_001007399 	1
A_15_P103007	cyp46a1.2	NM_200461 	1
CUST_8880_PI425730982	zgc:158299	XM_009306044 	1
A_15_P631546	zgc:193616	NM_001130789 	1
A_15_P570152	ndufaf6	XM_693091 	1
A_15_P109970	rbm38	NM_001110127 	1
A_15_P668841	egfl6	NM_001002457 	1
CUST_1771_PI425730982	rpl19	NM_213208 	1
A_15_P546857	gga3	NM_001089354 	1
A_15_P183036	cckb	XM_002665615 	1
A_15_P143526	znf346	NM_001081749 	1
A_15_P666621	olfm1a	NM_001002491 	1
A_15_P189631	smarcad1a	NM_001020774 	1
A_15_P119854	gpr37l1a	XM_690453 	1
CUST_19079_PI425730982	top1mt	NM_001001838 	1
A_15_P181511	larp1	XM_001920867 	1
A_15_P163031	rab13	NM_201329 	1
CUST_20380_PI425730982	mmp24	XM_694711 	1
A_15_P445205	slc4a3	NM_001302764 	1
CUST_15118_PI425730982	si:ch211-189a21.1	XM_009299811 	1
A_15_P130722	cyp1c1	NM_001020610 	1
A_15_P144966	rnf166	XM_009303490 	1
A_15_P626711	arpc5a	NM_194378 	1
CUST_4669_PI425730982	dpf1	NM_001030204 	1
A_15_P114544	coil	NM_131512 	1
A_15_P187871	smcr8a	XM_681942 	1
A_15_P208551	hipk2	NM_001099985 	1
CUST_2439_PI425730982	n6amt1	NM_001002502 	1
A_15_P632571	ifnphi2	NM_001111082 	1
A_15_P120443	plod1a	NM_001077742 	1
A_15_P221081	foxi3b	NM_198918 	1
A_15_P171471	engase	NM_001080578 	1
A_15_P188666	tcirg1	XM_005160272 	1
CUST_2146_PI425731064	cntnap5b	XM_009296211 	1
A_15_P720806	exosc9	NM_001006077 	1
A_15_P745548	zgc:123194	NM_001037410 	1
A_15_P162506	prkag2a	NM_001077179 	1
A_15_P224676	shhb	NM_131199 	1
A_15_P715236	ydjc	NM_001082862 	1
A_15_P172271	lpar2a	NM_001003578 	1
CUST_1903_PI425730982	ythdf1	NM_212713 	1
CUST_23058_PI425730982	si:dkey-85a20.4	XM_009307521 	1
A_15_P322181	tmod1	XM_001920567 	1
A_15_P203331	si:dkey-21a6.6	XM_685413 	1
CUST_5049_PI425730982	zgc:136930	NM_001039819 	1
A_15_P208126	uck1	NM_001004666 	1
CUST_2745_PI425730982	nek7	NM_001003617 	1
CUST_21876_PI425730982	LOC100004033	XM_001343405 	1
A_15_P171581	cyp1b1	NM_001145708 	1
A_15_P765006	si:dkey-206d17.5	NM_001135579 	1
A_15_P173331	ndufa12	NM_001033103 	1
CUST_1765_PI425730982	orc5	NM_213198 	1
A_15_P239856	ap2s1	NM_213155 	1
A_15_P111656	hoxb1b	NM_131142 	1
CUST_10017_PI425730982	kcnn1a	NM_001128248 	1
A_15_P116121	ebp	NM_001002328 	1
A_15_P200151	lap3	NM_001114847 	1
A_15_P518422	ankzf1	XM_009304531 	1
A_15_P181746	si:dkey-240h12.4	XM_009294095 	1
A_15_P185571	alg6	NM_001003784 	1
A_15_P111798	sox4b	NM_200901 	1
A_15_P116515	zgc:110183	NM_001017836 	1
A_15_P491292	LOC555228	XM_003199168 	1
A_15_P762861	LOC101883731	XM_005174566 	1
A_15_P168441	tmem91	XM_009293788 	1
A_15_P191721	sptlc3	NM_001003562 	1
A_15_P622471	pbx4	NM_131447 	1
A_15_P663126	crygm4	NM_001007791 	1
A_15_P371440	LOC101883945	XM_009307003 	1
A_15_P367950	si:dkey-75b17.1	XM_009291918 	1
A_15_P751961	tnfrsf19	NM_001044904 	1
A_15_P638131	dido1	NM_001079955 	1
A_15_P363505	limk2	NM_001002651 	1
A_15_P195356	adnp2b	NM_001080013 	1
A_15_P160111	hoxc11b	XM_009300573 	1
CUST_7815_PI425730982	zgc:174863	NM_001114571 	1
CUST_4497_PI425730982	ompa	NM_001025185 	1
A_15_P750526	igfbp5a	NM_001126463 	1
A_15_P165426	LOC567816	XM_691119 	1
A_15_P157136	c24h7orf50	XM_009297634 	1
A_15_P140606	dync1h1	NM_001042745 	1
A_15_P646526	oxct1a	NM_001007291 	1
A_15_P118809	gnb1l	NM_001013508 	1
A_15_P151136	arl16	NM_001089500 	1
A_15_P100926	arid5a	XM_003199152 	1
A_15_P182011	si:ch211-288g17.3	XM_701324 	1
A_15_P645446	nup35	XR_662519 	1
A_15_P209916	usp42	XM_009306679 	1
CUST_2736_PI425731107	LOC101883956	XM_009303925 	1
CUST_8101_PI425730982	si:dkey-191c17.2	NM_001123325 	1
CUST_11532_PI425730982	LOC101884127	XM_005156583 	1
CUST_2565_PI425730982	rab3db	NM_001002679 	1
A_15_P660376	ptpn4b	NM_001044313 	1
A_15_P623441	exosc5	NM_001045352 	1
A_15_P300866	cacna1ab	XM_009306145 	1
A_15_P199356	acsl3b	NM_001145932 	1
A_15_P418640	dnaja	XM_002666751 	1
A_15_P301361	LOC569441	XM_009301987 	1
A_15_P290566	prokr1a	NM_001173406 	1
A_15_P287991	prox1a	NM_131405 	1
A_15_P159686	cacna2d4a	XM_009300431 	1
CUST_8852_PI425730982	LOC101882738	XM_009305771 	1
A_15_P528377	cnot11	NM_001089341 	1
A_15_P227581	si:ch211-116o3.5	XM_002664563 	1
A_15_P628921	cmlc1	NM_131692 	1
A_15_P143121	tmem244	NM_001044796 	1
A_15_P551912	chrdl2	NM_001130959 	1
A_15_P224121	snx7	NM_001002229 	1
CUST_1400_PI425731064	rlim	XM_009307767 	1
A_15_P717271	fggy	NM_213281 	1
CUST_105_PI425730982	hsf2	NM_131867 	1
A_15_P405550	myo1c	XM_005157668 	1
A_15_P112532	itk	NM_131104 	1
A_15_P728541	zgc:158445	NM_001080071 	1
A_15_P107703	mgat1a	NM_200676 	1
A_15_P336165	si:ch73-138n13.1	XM_002663199 	1
A_15_P754221	rps4x	NM_001005589 	1
CUST_1321_PI425730982	ppp1r3cb	NM_200834 	1
A_15_P130356	tprb	NM_001030123 	1
A_15_P264531	mgaa	XM_005158624 	1
A_15_P110957	tubb5	XM_005173471 	1
A_15_P451715	stx10	XM_001922219 	1
A_15_P121291	rps24	NM_201216 	1
CUST_6373_PI425730982	fam101a	NM_001007031 	1
A_15_P723336	gmds	NM_001102475 	1
A_15_P590962	nradd	XM_695893 	1
A_15_P153116	kdm2ba	NM_213167 	1
A_15_P171796	atp1b3b	NM_131670 	1
A_15_P443400	nlgn2b	NM_001166329 	1
A_15_P107005	btg3	NM_001007351 	1
A_15_P257461	adamtsl2	XM_009301979 	1
A_15_P484726	rnf180	NM_001110404 	1
A_15_P366920	tax1bp3	NM_213470 	1
A_15_P758241	ugt5b2	XM_005170847 	1
CUST_22210_PI425730982	myadml2	XM_005171651 	1
A_15_P632336	tmem167b	NM_001003761 	1
A_15_P465365	LOC101886260	XM_009292743 	1
CUST_20511_PI425730982	LOC100334711	XM_009306352 	1
A_15_P324379	prkrirb	NM_001002680 	1
A_15_P203581	zgc:154061	NM_001076722 	1
A_15_P116452	gnpda1	NM_001017867 	1
A_15_P288596	LOC100538255	XM_003201661 	1
A_15_P191046	rab41	NM_213365 	1
CUST_603_PI425730982	snapc1a	NM_200263 	1
A_15_P157071	si:ch211-234p6.5	XM_005162889 	1
A_15_P168916	lingo4b	NM_001089381 	1
CUST_5849_PI425730982	slc27a6	NM_001077386 	1
A_15_P173461	tmem5	NM_001075112 	1
A_15_P684471	iars	NM_199896 	1
A_15_P159051	mical3b	XM_009300199 	1
A_15_P260226	LOC797793	XM_001338222 	1
CUST_23441_PI425730982	rapgefl1	XM_001920985 	1
A_15_P204396	LOC100005846	XM_001338913 	1
A_15_P103521	egln3	NM_213310 	1
A_15_P410470	atp1a1a.5	NM_178099 	1
A_15_P198401	prkag2b	XM_005163300 	1
CUST_108_PI425731064	arhgap29a	XM_005162826 	1
A_15_P150411	otud3	NM_212922 	1
A_15_P200731	pkn1	XM_005160051 	1
A_15_P207161	grap2a	NM_001017756 	1
A_15_P115131	bmp4	NM_131342 	1
A_15_P406445	cux1a	XM_003199366 	1
A_15_P767621	gch2	NM_131667 	1
A_15_P408850	si:dkeyp-46h3.1	XM_002665531 	1
A_15_P105063	erh	NM_001271817 	1
A_15_P137541	loxl5a	NM_001045856 	1
A_15_P110261	atp5j	NM_213307 	1
A_15_P117963	dync1i2b	XM_009302113 	1
A_15_P149356	esr1	NM_152959 	1
A_15_P768376	hpda	NM_201167 	1
CUST_95_PI425730982	glra1	NM_131402 	1
A_15_P275351	dctn2	NM_201166 	1
CUST_14651_PI425730982	si:ch73-217n20.1	XM_009297129 	1
A_15_P656431	chn1	NM_213000 	1
A_15_P189241	mfsd12b	XM_001924010 	1
A_15_P682816	dachc	NM_001045236 	1
A_15_P316631	ninl	NM_001281798 	1
A_15_P187826	asic2	XM_009299634 	1
A_15_P155501	rnf122	XM_002663249 	1
A_15_P489170	LOC101886876	XM_009301243 	1
CUST_381_PI425730982	oprk1	NM_182886 	1
A_15_P705361	ppp1r14c	NM_001029963 	1
CUST_1255_PI425731064	si:ch211-263k4.2	XM_001337054 	1
A_15_P765591	brd1b	NM_001083030 	1
CUST_6716_PI425730982	zgc:163074	NM_001089534 	1
A_15_P470255	thrap3b	NM_214815 	1
CUST_1304_PI425731107	LOC103911107	XM_009301735 	1
A_15_P660731	gtf3ab	NM_001089544 	1
A_15_P145796	atrxl	XR_661592 	1
A_15_P205866	slc7a7	NM_001037559 	1
A_15_P120425	adprhl2	NM_001004565 	1
A_15_P441870	dclre1a	NM_001020549 	1
A_15_P191966	rad51b	XM_009294579 	1
A_15_P533692	cep70	NM_001114576 	1
A_15_P201866	cacnb4a	NM_001113519 	1
CUST_23165_PI425730982	LOC100332784	XM_009306266 	1
A_15_P109893	pik3ip1	NM_198374 	1
A_15_P103773	parvg	NM_001089538 	1
CUST_12767_PI425730982	synpo2b	XM_005159901 	1
CUST_25_PI425730982	cacna1c	NM_131900 	1
A_15_P225421	psmd1	NM_201184 	1
A_15_P112334	arl4cb	NM_213248 	1
A_15_P191926	rorcb	NM_001277094 	1
CUST_21237_PI425730982	LOC100333578	XM_005170121 	1
CUST_300_PI425730982	tpi1a	NM_153667 	1
A_15_P646651	piwil1	NM_183338 	1
CUST_9306_PI425730982	aff4	XM_679235 	1
A_15_P383820	samd1b	XM_005163533 	1
A_15_P191461	ankrd50	XM_009300742 	1
A_15_P666956	enpp6	NM_001013527 	1
